scenario,scenario_id,D,noise_type,metric,method_a,method_b,alternative,mean_a,mean_b,mean_diff,median_diff,n_pairs,wilcoxon_statistic,p_value,rationale
"D=0.5, white",eval_multi_D05_white,0.5,white,f1,SNHT,Chow,greater,0.7249999800000001,0.64499998,0.08,0.0,50,10.0,0.0227501319481792,low-noise classical winner vs runner-up
"D=0.5, white",eval_multi_D05_white,0.5,white,f1,SNHT,GRU_v2,greater,0.7249999800000001,0.25342862,0.47157135999999994,0.357143,50,900.0,5.321381650250848e-06,low-noise classical winner vs best ML
"D=1, white",eval_multi_D10_white,1.0,white,f1,Transformer_v2,CUSUM,greater,0.6981657,0.53438122,0.16378448,0.15984849999999998,50,1275.0,8.881784197001252e-16,working-regime ML vs strongest classical baseline
"D=1, white",eval_multi_D10_white,1.0,white,f1,Transformer_v2,GRU_v2,greater,0.6981657,0.6505095200000001,0.047656180000000006,0.040271,50,1042.0,2.3234865378363168e-05,Transformer vs next recurrent model
"D=1, white",eval_multi_D10_white,1.0,white,f1,Transformer_v2,LSTM_v2,two-sided,0.6981657,0.6749072199999999,0.023258479999999998,0.010486499999999954,50,444.0,0.09371485753250737,top ML separation in working regime
"D=1, pink",eval_multi_D10_pink,1.0,pink,f1,Transformer_v2,CUSUM,greater,0.56599312,0.40237697999999994,0.16361614000000002,0.16545050000000003,50,1275.0,8.881784197001252e-16,pink-noise transfer vs strongest classical baseline
"D=1, pink",eval_multi_D10_pink,1.0,pink,f1,Transformer_v2,GRU_v2,two-sided,0.56599312,0.55146574,0.01452738,0.010126999999999997,50,306.0,0.0010644297047850415,top ML separation under pink noise
"D=1.5, white",eval_multi_D15_white,1.5,white,f1,Transformer_v2,CUSUM,greater,0.64287098,0.59459454,0.048276440000000004,0.04917550000000004,50,1162.0,1.3189026759619082e-08,high-noise ML vs strongest classical baseline
"D=1.5, white",eval_multi_D15_white,1.5,white,f1,Transformer_v2,LSTM_v2,two-sided,0.64287098,0.5989380999999999,0.04393288000000001,0.04752300000000004,50,180.0,1.6910679632484672e-05,top ML separation at high noise
