scenario,scenario_id,frozen_scenario_id,metric,method_a,method_b,mean_a,mean_b,mean_diff,median_diff,n_pairs,wilcoxon_statistic,p_value
"D=1, white",same_noise_D10_white,eval_multi_D10_white,f1,Transformer_v2_same_noise,Transformer_v2_universal,0.5859215400000001,0.6981657,-0.11224415999999998,-0.129863,50,18.0,4.4941828036826337e-13
"D=1, pink",same_noise_D10_pink,eval_multi_D10_pink,f1,Transformer_v2_same_noise,Transformer_v2_universal,0.26301764000000005,0.56599312,-0.30297548,-0.3043305,50,0.0,1.7763568394002505e-15
