scenario,scenario_tag,method,series_seed,margin,n_true,n_pred,precision,recall,f1,mae,roc_auc,pr_auc,time_s
"D=0.5, white",D05_white,SWAB,1017,50,1,0,0.0,0.0,0.0,9999.0,,,0.014
"D=0.5, white",D05_white,SWAB,1017,100,1,0,0.0,0.0,0.0,9999.0,,,0.014
"D=0.5, white",D05_white,SWAB,1018,25,1,1,0.0,0.0,0.0,9999.0,,,0.0201
"D=0.5, white",D05_white,SWAB,1018,50,1,1,0.0,0.0,0.0,9999.0,,,0.0201
"D=0.5, white",D05_white,SWAB,1018,100,1,1,0.0,0.0,0.0,9999.0,,,0.0201
"D=0.5, white",D05_white,SWAB,1019,25,1,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1019,50,1,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1019,100,1,0,0.0,0.0,0.0,9999.0,,,0.0216
"D=0.5, white",D05_white,SWAB,1020,25,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1020,50,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1020,100,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1021,25,1,0,0.0,0.0,0.0,9999.0,,,0.0141
"D=0.5, white",D05_white,SWAB,1021,50,1,0,0.0,0.0,0.0,9999.0,,,0.0141
"D=0.5, white",D05_white,SWAB,1021,100,1,0,0.0,0.0,0.0,9999.0,,,0.0141
"D=0.5, white",D05_white,SWAB,1022,25,3,3,0.333333,0.333333,0.333333,5.0,,,0.015
"D=0.5, white",D05_white,SWAB,1022,50,3,3,0.333333,0.333333,0.333333,5.0,,,0.015
"D=0.5, white",D05_white,SWAB,1022,100,3,3,0.666667,0.666667,0.666667,44.5,,,0.015
"D=0.5, white",D05_white,SWAB,1023,25,3,4,0.25,0.333333,0.285714,21.0,,,0.014
"D=0.5, white",D05_white,SWAB,1023,50,3,4,0.25,0.333333,0.285714,21.0,,,0.014
"D=0.5, white",D05_white,SWAB,1023,100,3,4,0.25,0.333333,0.285714,21.0,,,0.014
"D=0.5, white",D05_white,SWAB,1024,25,5,5,0.0,0.0,0.0,9999.0,,,0.017
"D=0.5, white",D05_white,SWAB,1024,50,5,5,0.2,0.2,0.2,30.0,,,0.017
"D=0.5, white",D05_white,SWAB,1024,100,5,5,0.6,0.6,0.6,55.0,,,0.017
"D=0.5, white",D05_white,SWAB,1025,25,1,0,0.0,0.0,0.0,9999.0,,,0.0221
"D=0.5, white",D05_white,SWAB,1025,50,1,0,0.0,0.0,0.0,9999.0,,,0.0221
"D=0.5, white",D05_white,SWAB,1025,100,1,0,0.0,0.0,0.0,9999.0,,,0.0221
"D=0.5, white",D05_white,SWAB,1026,25,1,0,0.0,0.0,0.0,9999.0,,,0.02
"D=0.5, white",D05_white,SWAB,1026,50,1,0,0.0,0.0,0.0,9999.0,,,0.02
"D=0.5, white",D05_white,SWAB,1026,100,1,0,0.0,0.0,0.0,9999.0,,,0.02
"D=0.5, white",D05_white,SWAB,1027,25,3,2,0.0,0.0,0.0,9999.0,,,0.0161
"D=0.5, white",D05_white,SWAB,1027,50,3,2,0.0,0.0,0.0,9999.0,,,0.0161
"D=0.5, white",D05_white,SWAB,1027,100,3,2,0.0,0.0,0.0,9999.0,,,0.0161
"D=0.5, white",D05_white,SWAB,1028,25,5,8,0.125,0.2,0.153846,2.0,,,0.0135
"D=0.5, white",D05_white,SWAB,1028,50,5,8,0.25,0.4,0.307692,23.0,,,0.0135
"D=0.5, white",D05_white,SWAB,1028,100,5,8,0.5,0.8,0.615385,47.25,,,0.0135
"D=0.5, white",D05_white,SWAB,1029,25,3,3,0.0,0.0,0.0,9999.0,,,0.0145
"D=0.5, white",D05_white,SWAB,1029,50,3,3,0.333333,0.333333,0.333333,36.0,,,0.0145
"D=0.5, white",D05_white,SWAB,1029,100,3,3,0.666667,0.666667,0.666667,47.5,,,0.0145
"D=0.5, white",D05_white,SWAB,1030,25,3,2,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1030,50,3,2,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1030,100,3,2,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1031,25,1,1,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1031,50,1,1,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1031,100,1,1,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1032,25,1,1,0.0,0.0,0.0,9999.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1032,50,1,1,0.0,0.0,0.0,9999.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1032,100,1,1,0.0,0.0,0.0,9999.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1033,25,1,0,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1033,50,1,0,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1033,100,1,0,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1034,25,1,0,0.0,0.0,0.0,9999.0,,,0.0121
"D=0.5, white",D05_white,SWAB,1034,50,1,0,0.0,0.0,0.0,9999.0,,,0.0121
"D=0.5, white",D05_white,SWAB,1034,100,1,0,0.0,0.0,0.0,9999.0,,,0.0121
"D=0.5, white",D05_white,SWAB,1035,25,3,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1035,50,3,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1035,100,3,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1036,25,3,3,0.333333,0.333333,0.333333,3.0,,,0.0151
"D=0.5, white",D05_white,SWAB,1036,50,3,3,0.333333,0.333333,0.333333,3.0,,,0.0151
